;id;title;authors;identifier;publisher;img_url;creator_id;identifier_type
1479;1537;The German Army on the Western Front 1915;Jack Sheldon;1848844662;Pen & Sword Military;http://ecx.images-amazon.com/images/I/51qmkMRU6GL._SL500_AA300_.jpg;1;ASIN
1480;1538;The Bantams: The untold story of World War 1;Sidney Allinson;703002015;H. Baker;http://ecx.images-amazon.com/images/I/21rCVEeNGkL._SL500_AA300_.jpg;1;ASIN
1481;1539;Known Unto God;Darren Humby;957412606;Ecanus Publishing;http://ecx.images-amazon.com/images/I/41p4BxU-IgL._SL500_AA300_.jpg;1;ASIN
1482;1540;Known Unto God;Morgan MacDonald, Frank Gogos;1550813226;Breakwater Books Ltd;http://ecx.images-amazon.com/images/I/51iBsg1mBzL._SL500_AA300_.jpg;1;ASIN
1483;1541;Known Unto God;Bob Bibby;953319679;Pierrepoint Press;http://ecx.images-amazon.com/images/I/51Y0zeudXkL._SL500_AA300_.jpg;1;ASIN
1484;1542;"In the Ypres salient; the story of a fortnight's Canadian fighting, June 2-16, 1916";Beckles Willson;1234234123;London, Simpkin, Marshall, Hamilton, Kent & co. ltd. ;http://ecx.images-amazon.com/images/I/51WT8RI67RL._SL500_AA300_.jpg;1;ASIN
1485;1543;The Great War: 1914-1918;Peter Hart;1846682460;Profile Books;http://ecx.images-amazon.com/images/I/510fhzHDlAL._SL500_AA300_.jpg;1;ASIN
1486;1544;Great War Tank Manual: An insight into the history, development, production and role of the British Army tank of the First World War;David Fletcher;857332422;J H Haynes & Co Ltd;http://ecx.images-amazon.com/images/I/51mdoijGamL._SL500_AA300_.jpg;1;ASIN
1487;1545;1913: The World before the Great War;Charles Emmerson;1847922260;Bodley Head;http://ecx.images-amazon.com/images/I/51s33-r11HL._SL500_AA300_.jpg;1;ASIN
1488;1546;British Aviation: Great War and Armistice, 1915-19;Harald Penrose;370001281;Putnam;http://ecx.images-amazon.com/images/I/41qItcRI63L._SL500_AA300_.jpg;1;ASIN
